"X","paper_doi","paper_files","paper_comment","np_core","np_shell_1","np_shell_2","np_shell_3","np_hydro_size","np_zeta","syn_description","syn_method","syn_temp","syn_pH","syn_steer","syn_atm","syn_press","syn_surf","syn_doi","xrd_scherrer_size","xrd_crystallinity","xrd_fracs","xrd_files","emic_exp_type","emic_kV","emic_scan_regime","emic_interplanar_dist","emic_size","emic_x_size","emic_y_size","emic_z_size","emic_shape","emic_files","ads_method","ads_adsorbate","ads_pore_volume","ads_density","ads_pore_size","ads_surf_area","ads_files","tox_test_type","tox_cell_line","tox_gen_tox","tox_mtt_24","tox_mtt_48","tox_mtt_72","tox_lc50","tox_noec","tox_loes","tox_live_frac","tox_apopt_frac","tox_necr_frac","squid_temp","squid_h_max","squid_sat_mag","squid_coerc_f","squid_rem_mag","squid_orient","squid_h_bias","squid_files","zfc_temp_min","zfc_temp_max","zfc_h_meas","zfc_temp_block","zfc_files","htherm_method","htherm_relax","htherm_h_amplitude","htherm_amf_freq","htherm_sar","htherm_ilp","htherm_toxicity","htherm_files","magmech_mech","magmech_h_val","magmech_mag_grad","magmech_torque","magmech_wdist","magmech_mag_type","magmech_target","magmech_target_force","mri_h_val","mri_r1","mri_r2","dds_h_val","dds_mag_grad","dds_wdist","dds_mag_type","dds_vessel","dds_velocity","dds_accumulation","mep_mep_coef","mep_h_val","mep_h_opt","mep_epsilon","mep_piezo","mep_resist"
,"",,,"Mn0.43Fe2.57O4","-","-","-","19.97","-53.5","A one-pot synthetic route of MnxFe3-xO4
nanoparticles (using x = 0.43 as example) is as follows: 0.903 g (1 mmol) of iron oleate (synthesized
in a typical method) and 0.104 g (0.167 mmol) manganese oleate were dissolved in 15mL of
1-octadecene, with the addition of 0.186 mL (0.584 mmol) of oleic acid. The solution was first kept
at 120 °C for 30 min in vacuum to remove air and other impurities then refluxed at 320 °C in N2 for
2 h before cooling to room temperature. The products were separated by centrifugation, washed three
times with ethanol, and dispersed in hexane for further use. The preparation of Fe3O4 nanoparticles is
similar to the procedure without the adding of manganese oleate.","thermal decomposition",,,,,,,"",,"crystalline","inverse spinel structures of magnetite",,"TEM",,"-","0.3","18.5","18.5","18.5","18.5","spherical",,,,,,,,,"MTT","SMMC-7721","no","100",,,,,,,,,"300","50000","75.6","0","0",,,,,,,,,,,,,,,,,,,,,,,,,"7","0.5","904.4",,,,,,,,,,,,,
,"",,,"0.14Gd2O3-0.86Fe3O4","Sodium citrate","","",,,"The synthesis of GdIOP is straightforward
as following: gadolinium oleate and iron oleate complex were
prepared from reaction of sodium oleate and GdCl3 and FeCl3
with needed molar raitos. The obtained dry oleate complex
(1 mmol) was dissolved in 1-octadecene (15 mL) with addition
of oleci acid (0.16 mL) as surfactant. The reaction system was
allowed to reflux in N2 atomsphere for 2 h. After cooling to room
temperature, excess isopropanol was added to the solution.
The black products were collected by centrifugation and redispersed in hexane for further use.","",,,,,,,"",,"","Gd2O3/Fe3O4",,"HRTEM",,"",,"9","9","9","1.8","Plate",,,,,,,,,"MTT","SMMC-7721","","98",,,,,,,,,"300","50","21.9",,,,,,"5","300","0","90",,,,,,,,,,,,,,,,,,"0.5","61.5","147.2",,,,,,,,,,,,,
,"",,,"0.14Gd2O3-0.86Fe3O4","Sodium citrate","","",,,"The synthesis of GdIOP is straightforward
as following: gadolinium oleate and iron oleate complex were
prepared from reaction of sodium oleate and GdCl3 and FeCl3
with needed molar raitos. The obtained dry oleate complex
(1 mmol) was dissolved in 1-octadecene (15 mL) with addition
of oleci acid (0.16 mL) as surfactant. The reaction system was
allowed to reflux in N2 atomsphere for 2 h. After cooling to room
temperature, excess isopropanol was added to the solution.
The black products were collected by centrifugation and redispersed in hexane for further use.","",,,,,,,"",,"","Gd2O3/Fe3O4",,"HRTEM",,"",,"9","9","9","1.8","Plate",,,,,,,,,"MTT","SMMC-7721","","98",,,,,,,,,"300","50","21.9",,,,,,"5","300","0","90",,,,,,,,,,,,,,,,,,"3","20.5","145.4",,,,,,,,,,,,,
,"",,,"0.14Gd2O3-0.86Fe3O4","Sodium citrate","","",,,"The synthesis of GdIOP is straightforward
as following: gadolinium oleate and iron oleate complex were
prepared from reaction of sodium oleate and GdCl3 and FeCl3
with needed molar raitos. The obtained dry oleate complex
(1 mmol) was dissolved in 1-octadecene (15 mL) with addition
of oleci acid (0.16 mL) as surfactant. The reaction system was
allowed to reflux in N2 atomsphere for 2 h. After cooling to room
temperature, excess isopropanol was added to the solution.
The black products were collected by centrifugation and redispersed in hexane for further use.","",,,,,,,"",,"","Gd2O3/Fe3O4",,"HRTEM",,"",,"9","9","9","1.8","Plate",,,,,,,,,"MTT","SMMC-7721","","98",,,,,,,,,"300","50","21.9",,,,,,"5","300","0","90",,,,,,,,,,,,,,,,,,"7","6.8","158.8",,,,,,,,,,,,,
,"",,,"0.14Gd2O3-0.86Fe3O4","Sodium citrate","","",,,"The synthesis of GdIOP is straightforward
as following: gadolinium oleate and iron oleate complex were
prepared from reaction of sodium oleate and GdCl3 and FeCl3
with needed molar raitos. The obtained dry oleate complex
(1 mmol) was dissolved in 1-octadecene (15 mL) with addition
of oleci acid (0.16 mL) as surfactant. The reaction system was
allowed to reflux in N2 atomsphere for 2 h. After cooling to room
temperature, excess isopropanol was added to the solution.
The black products were collected by centrifugation and redispersed in hexane for further use.","",,,,,,,"",,"","Gd2O3/Fe3O4",,"HRTEM",,"",,"9","9","9","1.8","Plate",,,,,,,,,"MTT","SMMC-7721","","98",,,,,,,,,"300","50","21.9",,,,,,"5","300","0","90",,,,,,,,,,,,,,,,,,"9.4","4.3","167.6",,,,,,,,,,,,,
,"",,,"0.11Gd2O3-0.89Fe3O4","Sodium citrate","","",,,"The synthesis of GdIOP is straightforward
as following: gadolinium oleate and iron oleate complex were
prepared from reaction of sodium oleate and GdCl3 and FeCl3
with needed molar raitos. The obtained dry oleate complex
(1 mmol) was dissolved in 1-octadecene (15 mL) with addition
of oleci acid (0.16 mL) as surfactant. The reaction system was
allowed to reflux in N2 atomsphere for 2 h. After cooling to room
temperature, excess isopropanol was added to the solution.
The black products were collected by centrifugation and redispersed in hexane for further use.","",,,,,,,"",,"","Gd2O3/Fe3O4",,"HRTEM",,"",,"9","9","9","1.8","Plate",,,,,,,,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.5","46.7","122.1",,,,,,,,,,,,,
,"",,,"0.11Gd2O3-0.89Fe3O4","Sodium citrate","","",,,"The synthesis of GdIOP is straightforward
as following: gadolinium oleate and iron oleate complex were
prepared from reaction of sodium oleate and GdCl3 and FeCl3
with needed molar raitos. The obtained dry oleate complex
(1 mmol) was dissolved in 1-octadecene (15 mL) with addition
of oleci acid (0.16 mL) as surfactant. The reaction system was
allowed to reflux in N2 atomsphere for 2 h. After cooling to room
temperature, excess isopropanol was added to the solution.
The black products were collected by centrifugation and redispersed in hexane for further use.","",,,,,,,"",,"","Gd2O3/Fe3O4",,"HRTEM",,"",,"9","9","9","1.8","Plate",,,,,,,,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","3.5","125.9",,,,,,,,,,,,,
,"",,,"0.27Gd2O3-0.73Fe3O4","Sodium citrate","","",,,"The synthesis of GdIOP is straightforward
as following: gadolinium oleate and iron oleate complex were
prepared from reaction of sodium oleate and GdCl3 and FeCl3
with needed molar raitos. The obtained dry oleate complex
(1 mmol) was dissolved in 1-octadecene (15 mL) with addition
of oleci acid (0.16 mL) as surfactant. The reaction system was
allowed to reflux in N2 atomsphere for 2 h. After cooling to room
temperature, excess isopropanol was added to the solution.
The black products were collected by centrifugation and redispersed in hexane for further use.","",,,,,,,"",,"","Gd2O3/Fe3O4",,"HRTEM",,"",,"9","9","9","1.8","Plate",,,,,,,,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","7","231.3",,,,,,,,,,,,,
,"",,,"0.27Gd2O3-0.73Fe3O4","Sodium citrate","","",,,"The synthesis of GdIOP is straightforward
as following: gadolinium oleate and iron oleate complex were
prepared from reaction of sodium oleate and GdCl3 and FeCl3
with needed molar raitos. The obtained dry oleate complex
(1 mmol) was dissolved in 1-octadecene (15 mL) with addition
of oleci acid (0.16 mL) as surfactant. The reaction system was
allowed to reflux in N2 atomsphere for 2 h. After cooling to room
temperature, excess isopropanol was added to the solution.
The black products were collected by centrifugation and redispersed in hexane for further use.","",,,,,,,"",,"","Gd2O3/Fe3O4",,"HRTEM",,"",,"9","9","9","1.8","Plate",,,,,,,,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.5","66.3","215.7",,,,,,,,,,,,,
,"https://doi.org/10.1021/acsomega.8b03004",,,"Fe3O4","Citric acid","","","15","-36.1","A mixture of
FeCl3·6H2O (75 mg) and citric acid trisodium salt (80 mg)
was dissolved in water (9 mL). Subsequently, hydrazine monohydrate (1 mL) was added and the mixture was rapidly
introduced into the microwave. Samples were heated under
vigorous stirring at 240 W for 10 min at 120 °C. Once this step
was completed, nanoparticles were purified through a gel
filtration column (PD10) to eliminate unreacted species and
stored in glass vials for further characterization","",,,,,,,"",,"","",,"STEM-HAADF",,"",,"4.2","4.2","4.2","4.2","Sphere",,,,,,,,,"","","",,,,,,,,,,"300","30","82.3",,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5","11.9","22.9",,,,,,,,,,,,,
